[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Packing shared model weights
prepared gate passed
cut1 gate passed
cut2 gate passed
cut4 gate passed
cut8 gate passed
prepared -1 58.419
cut1 -1 33.928
cut2 -1 51.916
cut4 -1 51.917
cut8 -1 51.224
prepared 0 52.805
cut1 0 34.158
cut2 0 35.796
cut4 0 51.712
cut8 0 51.766
cut1 1 52.644
cut2 1 34.656
cut4 1 36.265
cut8 1 50.05
prepared 1 50.828
cut2 2 33.777
cut4 2 50.386
cut8 2 51.244
prepared 2 54.886
cut1 2 29.243
cut4 3 35.979
cut8 3 51.608
prepared 3 53.289
cut1 3 34.414
cut2 3 52.605
cut8 4 51.529
prepared 4 53.198
cut1 4 34.316
cut2 4 34.602
cut4 4 51.344
cut8 5 51.964
cut4 5 52.26
cut2 5 52.596
cut1 5 51.902
prepared 5 53.043
prepared 6 52.809
cut8 6 23.878
cut4 6 50.54
cut2 6 51.276
cut1 6 51.435
cut1 7 34.602
prepared 7 54.632
cut8 7 32.068
cut4 7 49.663
cut2 7 50.341
cut2 8 51.653
cut1 8 51.118
prepared 8 56.59
cut8 8 34.487
cut4 8 51.474
cut4 9 51.425
cut2 9 51.022
cut1 9 32.076
prepared 9 50.422
cut8 9 30.037
