[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Packing shared model weights
prepared gate passed
phase gate passed
affinity gate passed
progress gate passed
prefetch_late gate passed
prefetch_early gate passed
prepared -1 67.972
phase -1 40.733
affinity -1 53.297
progress -1 52.904
prefetch_late -1 51.586
prefetch_early -1 52.186
prepared 0 61.666
phase 0 40.735
affinity 0 53.6
progress 0 53.058
prefetch_late 0 52.025
prefetch_early 0 52.146
phase 1 56.72
affinity 1 53.374
progress 1 52.371
prefetch_late 1 51.633
prefetch_early 1 51.751
prepared 1 61.2
affinity 2 38.275
progress 2 53.048
prefetch_late 2 52.063
prefetch_early 2 52.133
prepared 2 62.493
phase 2 40.88
progress 3 53.032
prefetch_late 3 51.977
prefetch_early 3 52.215
prepared 3 62.244
phase 3 40.64
affinity 3 53.42
prefetch_late 4 52.054
prefetch_early 4 52.211
prepared 4 66.188
phase 4 49.872
affinity 4 53.397
progress 4 53.081
prefetch_early 5 52.19
prepared 5 63.667
phase 5 44.901
affinity 5 53.395
progress 5 53.054
prefetch_late 5 51.979
prefetch_early 6 52.121
prefetch_late 6 51.789
progress 6 53.093
affinity 6 53.314
phase 6 56.728
prepared 6 62.054
prepared 7 68.932
prefetch_early 7 38.53
prefetch_late 7 52.05
progress 7 53.105
affinity 7 53.311
phase 7 56.869
phase 8 56.719
prepared 8 61.769
prefetch_early 8 38.256
prefetch_late 8 52.049
progress 8 53.119
affinity 8 53.341
affinity 9 53.364
phase 9 56.71
prepared 9 62.27
prefetch_early 9 38.173
prefetch_late 9 52.158
progress 9 53.34
progress 10 53.101
affinity 10 53.351
phase 10 56.773
prepared 10 68.185
prefetch_early 10 51.54
prefetch_late 10 51.919
prefetch_late 11 51.956
progress 11 52.857
affinity 11 53.437
phase 11 56.798
prepared 11 61.537
prefetch_early 11 37.679
